Task 7A second-review relocation-authority evidence inventory
Generated: 2026-09-04
Scope: preparation-only; runtimeQualified=false
Format: CLASS | BYTES | SHA256 | FILE

VALID_RED | 5243 | 57e9d1dd8c36219959621d1d9b9c7eb0766ea0f74646cdeb2f1990f9c33a3f6c | task-7A-review2-admission-repeat-red-01.log
VALID_RED | 1053 | 6406d7233c453481adc0e63ff806268cac21130c726b9ea508cb2c623dcf332b | task-7A-review2-authority-lifecycle-red-01.log
VALID_RED | 11421 | 1c43c365630ea80ef22b320a3297bbbb65720cd12db65a2b8ff3fa5cebf2530d | task-7A-review2-baseline-red-01.log
VALID_RED | 2481 | 128070a4ae91aa5bace23e90f718d0c72204f0def35600512ec804aa772dcfea | task-7A-review2-borrowed-guard-red-01.log
VALID_RED | 5366 | 2c7a6695c7435507429e4da579612d79aef2ecfda37d8322a1ce142bba5015d5 | task-7A-review2-collision-red-01.log
VALID_RED | 4338 | 2948be4346edeb2695560b20e7cc35307bdac34099aa0a752b6bb87eae5c00bc | task-7A-review2-collision-red-02.log
VALID_RED | 1579 | a1d5933fecde9fb4fcbf38f747ec75056a9153bab8e98bc545e23381717dfc07 | task-7A-review2-partial-tree-red-01.log
VALID_RED | 991 | df8f697dfc578184b64d55d820cf385fb494ec24671484ddc9e90e2976b2e75c | task-7A-review2-pinned-member-red-01.log
VALID_RED | 1308 | c2c7ded58e0bd02c1b707aac6b8e5cae34bb5a5f862f26a12f6247ba742e11c2 | task-7A-review2-tree-order-red-01.log
VALID_PRODUCT_RED | 4184 | 58d76385be70ecf480c6cb6ab1270f96c853fcfa4994324f496b42f6c91ea3a4 | task-7A-review2-native-focused-03.log
VALID_PRODUCT_RED | 3831 | ecd84175131e3945fd4a24b56acd6ac247605fb3a22027b6466070182ce19c4b | task-7A-review2-native-focused-04.log

VALID_GREEN | 953 | 2a50bdf5a2e63a01b758ef77345a9267d255b68e63637cd5f4ca96e07e801b83 | task-7A-review2-admission-repeat-green-01.log
